file,source,mode,size,alpha_extrema,transparent_ratio
cta-jetzt-starten-v28.png,/mnt/data/jetzt_starten_1254x313.png,RGBA,1254x313,"(0, 255)",0.1880
cta-installation-v28.png,/mnt/data/installation_1254x313.png,RGBA,1254x313,"(0, 255)",0.1838
cta-wiki-v28.png,/mnt/data/wiki_1254x313.png,RGBA,1254x313,"(0, 255)",0.1635
cta-discord-v28.png,/mnt/data/discord_1254x313.png,RGBA,1254x313,"(0, 255)",0.2021
cta-blank-v28.png,/mnt/data/leerer_banner_1254x313.png,RGBA,1254x313,"(0, 255)",0.1728
icon-installation-v28.png,/mnt/data/01_installation_installationspfeil_256.png,RGBA,256x256,"(0, 255)",0.4481
icon-regeln-v28.png,/mnt/data/02_regeln_waage_256.png,RGBA,256x256,"(0, 255)",0.5905
icon-rpleitfaden-v28.png,/mnt/data/03_rp_leitfaden_offenes_buch_256.png,RGBA,256x256,"(0, 255)",0.5793
icon-spielhilfen-v28.png,/mnt/data/04_spielhilfen_kompassstern_256.png,RGBA,256x256,"(0, 255)",0.5570
icon-berufe-v28.png,/mnt/data/05_berufe_werkzeuge_256.png,RGBA,256x256,"(0, 255)",0.5627
icon-lernpunkte-v28.png,/mnt/data/06_lernpunkte_runenleisten_256.png,RGBA,256x256,"(0, 255)",0.4343
icon-kampf-v28.png,/mnt/data/07_kampf_gekreuzte_schwerter_256.png,RGBA,256x256,"(0, 255)",0.4345
icon-logs-v28.png,/mnt/data/08_logs_schriftrolle_siegel_256.png,RGBA,256x256,"(0, 255)",0.4799
icon-serverinfos-v28.png,/mnt/data/09_serverinfos_turmfeuer_256.png,RGBA,256x256,"(0, 255)",0.4424
icon-hardcore-rp-v28.png,/mnt/data/10_hardcore_rp_helm_256.png,RGBA,256x256,"(0, 255)",0.4545
icon-community-v28.png,/mnt/data/11_aktive_community_lagerfeuer_gildenschilde_256.png,RGBA,256x256,"(0, 255)",0.4414
icon-lebendige-welt-v28.png,/mnt/data/12_lebendige_welt_berg_hafen_mine_256.png,RGBA,256x256,"(0, 255)",0.4446
logo-lockup-v12-final.png,/mnt/data/wappen_von_khorinis.png,RGBA,1391x876,"(0, 255)",0.7520
